similarity,combination
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'LinkToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'LinkToken.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'LinkToken.sol', 'Standard223TokenReceiverMock.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
0,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC223Receiver.sol', 'Standard223TokenReceiverMock.sol']
12,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'BasicToken.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'BasicToken.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'BasicToken.sol', 'Standard223TokenReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'TokenSale.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'TokenSale.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'ERC223Receiver.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'BasicToken.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'TokenSale.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'Standard223TokenReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'SmartOracle.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'ERC20Basic.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'BasicTokenMock.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'StandardTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'LinkToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'BasicToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'TokenSale.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol']
11,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'TokenSale.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Standard223TokenReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'TokenSale.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Standard223TokenReceiverMock.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol', 'TokenSale.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol', 'ERC20.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol', 'Standard223TokenReceiverMock.sol']
12,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'TokenSale.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'TokenSale.sol', 'Standard223TokenReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'ERC20Basic.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'BasicTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'StandardTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'StandardToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'StandardToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'ERC223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'TokenSale.sol']
4,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol', 'Standard223TokenReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol', 'Standard223TokenReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223Receiver.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223Receiver.sol', 'Standard223TokenReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicToken.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicToken.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicToken.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'TokenSale.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'TokenSale.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'BasicTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
