similarity,combination
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
13,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
13,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
4,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
10,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
16,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
10,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
9,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
8,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
6,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
16,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
10,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
10,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
8,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
19,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
12,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
12,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
12,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
6,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
12,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
5,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
15,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
14,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
9,['SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
16,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
14,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
4,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
10,['SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
13,['SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
21,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
18,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
18,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
16,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
12,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
12,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
19,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
16,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
13,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
12,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
15,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
21,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
10,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
9,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
18,['BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
19,['StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
