similarity,combination
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'Finalizable.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'Pausable.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Pausable.sol']
26,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'Finalizable.sol', 'Pausable.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'Finalizable.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'Pausable.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'SavingsMock.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'Pausable.sol']
52,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'DummyToken.sol']
26,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'EventDefinitions.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'EventDefinitions.sol', 'Pausable.sol', 'DummyToken.sol']
26,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'Finalizable.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'Finalizable.sol', 'Pausable.sol', 'DummyToken.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
25,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Pausable.sol']
27,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'Pausable.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Pausable.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
25,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'Pausable.sol']
55,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
25,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'DummyToken.sol']
27,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Pausable.sol', 'DummyToken.sol']
27,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'Finalizable.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'Finalizable.sol', 'Pausable.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'LedgerMock.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
25,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'Pausable.sol']
55,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
25,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'DummyToken.sol']
27,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Pausable.sol', 'DummyToken.sol']
15,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'Finalizable.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'Finalizable.sol', 'Pausable.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'SavingsMock.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
55,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
25,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'Pausable.sol', 'DummyToken.sol']
54,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
27,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'EventDefinitions.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Finalizable.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Pausable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'Pausable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
