similarity,combination
12,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
13,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol', 'Token223.sol']
13,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC20.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'NotERC223Compatible.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC20.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'LinkToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'LinkToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol', 'ERC20.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'NotERC223Compatible.sol', 'ERC20.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC20.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'ERC20.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'ERC20.sol', 'Token223.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol', 'ERC20.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
14,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol']
11,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223.sol']
15,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
11,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223.sol']
15,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
14,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
15,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
14,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
13,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
17,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
14,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
14,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
14,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
5,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
5,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
5,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'Token223.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol', 'Token223.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
11,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
17,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
16,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol', 'Token223.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
11,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
17,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
16,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol', 'Token223.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC223Receiver.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC20.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'Token223.sol']
11,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
20,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
14,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223.sol']
13,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
